,Province/State,Confirmed
03/20/2020,PUEBLA,11
03/20/2020,QUERETARO,8
03/20/2020,QUINTANA ROO,8
03/20/2020,SAN LUIS POTOSÍ,7
03/20/2020,SINALOA,3
03/20/2020,SONORA,2
03/20/2020,TABASCO,1
03/20/2020,TAMAULIPAS,2
03/20/2020,VERACRUZ,2
03/20/2020,YUCATÁN,13
03/21/2020,AGUASCALIENTES,4
03/21/2020,BAJA CALIFORNIA,3
03/21/2020,CHIAPAS,2
03/21/2020,CHIHUAHUA,1
03/21/2020,CIUDAD DE MÉXICO,42
03/21/2020,COAHUILA,1
03/21/2020,COLIMA,1
03/21/2020,DURANGO,4
03/21/2020,GUANAJUATO,4
03/21/2020,GUERRERO,4
03/21/2020,HIDALGO,2
03/21/2020,JALISCO,24
03/21/2020,MORELOS,2
03/21/2020,MÉXICO,20
03/21/2020,NUEVO LEÓN,24
03/21/2020,OAXACA,2
03/21/2020,PUEBLA,11
03/21/2020,QUERETARO,9
03/21/2020,QUINTANA ROO,11
03/21/2020,SAN LUIS POTOSÍ,7
03/21/2020,SINALOA,3
03/21/2020,SONORA,2
03/21/2020,TABASCO,1
03/21/2020,TAMAULIPAS,2
03/21/2020,VERACRUZ,4
03/21/2020,YUCATÁN,13
03/22/2020,AGUASCALIENTES,5
03/22/2020,BAJA CALIFORNIA,7
03/22/2020,CHIAPAS,3
03/22/2020,CHIHUAHUA,2
03/22/2020,CIUDAD DE MÉXICO,51
03/22/2020,COAHUILA,1
03/22/2020,COLIMA,1
03/22/2020,DURANGO,4
03/22/2020,GUANAJUATO,4
03/22/2020,GUERRERO,4
03/22/2020,HIDALGO,3
03/22/2020,JALISCO,29
03/22/2020,MORELOS,2
03/22/2020,MÉXICO,25
03/22/2020,NAYARIT,1
03/22/2020,NUEVO LEÓN,32
03/22/2020,OAXACA,2
03/22/2020,PUEBLA,16
03/22/2020,QUERETARO,13
03/22/2020,QUINTANA ROO,11
03/22/2020,SAN LUIS POTOSÍ,7
03/22/2020,SINALOA,3
03/22/2020,SONORA,2
03/22/2020,TABASCO,3
03/22/2020,TAMAULIPAS,2
03/22/2020,VERACRUZ,4
03/22/2020,YUCATÁN,13
03/22/2020,ZACATECAS,1
03/23/2020,AGUASCALIENTES,5
03/23/2020,BAJA CALIFORNIA,11
03/23/2020,BAJA CALIFORNIA SUR,1
03/23/2020,CAMPECHE,1
03/23/2020,CHIAPAS,3
03/23/2020,CHIHUAHUA,5
03/23/2020,CIUDAD DE MÉXICO,70
03/23/2020,COAHUILA,3
03/23/2020,COLIMA,2
03/23/2020,DURANGO,5
03/23/2020,GUANAJUATO,4
03/23/2020,GUERRERO,4
03/23/2020,HIDALGO,5
03/23/2020,JALISCO,35
03/23/2020,MICHOACÁN,3
03/23/2020,MORELOS,2
03/23/2020,MÉXICO,26
03/23/2020,NAYARIT,1
03/23/2020,NUEVO LEÓN,32
