ObservationDay,Estado,Deaths
4/8/20,PUEBLA,9
4/8/20,JALISCO,8
4/8/20,TABASCO,8
4/8/20,COAHUILA,7
4/8/20,HIDALGO,7
4/8/20,MICHOACÁN,5
4/8/20,MORELOS,5
4/8/20,DURANGO,4
4/8/20,GUERRERO,4
4/8/20,NUEVO LEÓN,4
4/8/20,SAN LUIS POTOSÍ,4
4/8/20,TAMAULIPAS,3
4/8/20,VERACRUZ,3
4/8/20,YUCATÁN,3
4/8/20,BAJA CALIFORNIA SUR,2
4/8/20,QUERETARO,2
4/8/20,SONORA,2
4/8/20,ZACATECAS,2
4/8/20,CAMPECHE,1
4/8/20,GUANAJUATO,1
4/8/20,NAYARIT,1
4/8/20,OAXACA,1
4/9/20,CIUDAD DE MÉXICO,43
4/9/20,BAJA CALIFORNIA, 16
4/9/20,SINALOA,15
4/9/20,QUINTANA ROO,12
4/9/20,MÉXICO,11
4/9/20,PUEBLA,10
4/9/20,TABASCO,9
4/9/20,JALISCO,8
4/9/20,COAHUILA,7
4/9/20,HIDALGO,7
4/9/20,MORELOS,7
4/9/20,GUERRERO,5
4/9/20,MICHOACÁN,5
4/9/20,NUEVO LEÓN,5
4/9/20,DURANGO,4
4/9/20,SAN LUIS POTOSÍ,4
4/9/20,SONORA,4
4/9/20,NAYARIT,3
4/9/20,TAMAULIPAS,3
4/9/20,VERACRUZ,3
4/9/20,YUCATÁN,3
4/9/20,BAJA CALIFORNIA SUR,2
4/9/20,QUERETARO,2
4/9/20,ZACATECAS,2
4/9/20,CAMPECHE,1
4/9/20,CHIHUAHUA,1
4/9/20,GUANAJUATO,1
4/9/20,OAXACA,1
4/10/20,CIUDAD DE MÉXICO,46
4/10/20,SINALOA,18
4/10/20,BAJA CALIFORNIA,17
4/10/20,MÉXICO,16
4/10/20,PUEBLA,15
4/10/20,QUINTANA ROO,13
4/10/20,CHIHUAHUA,12
4/10/20,TABASCO,9
4/10/20,JALISCO,9
4/10/20,MORELOS,7
4/10/20,HIDALGO,7
4/10/20,COAHUILA,7
4/10/20,MICHOACÁN,7
4/10/20,GUERRERO,6
4/10/20,SONORA,5
4/10/20,NUEVO LEÓN,5
4/10/20,DURANGO,4
4/10/20,SAN LUIS POTOSÍ,4
4/10/20,YUCATÁN,4
4/10/20,NAYARIT,3
4/10/20,QUERETARO,3
4/10/20,TAMAULIPAS,3
4/10/20,VERACRUZ,3
4/10/20,BAJA CALIFORNIA SUR,2
4/10/20,ZACATECAS,2
4/10/20,OAXACA,2
4/10/20,CAMPECHE,1
4/10/20,GUANAJUATO,1
4/10/20,CHIAPAS,1
4/10/20,TLAXCALA,1
4/11/20,CIUDAD DE MÉXICO,49
4/11/20,SINALOA,24
4/11/20,BAJA CALIFORNIA,20
4/11/20,MÉXICO,19
4/11/20,QUINTANA ROO,18
4/11/20,PUEBLA,18
4/11/20,TABASCO,12
4/11/20,CHIHUAHUA,12
4/11/20,COAHUILA,11
4/11/20,JALISCO,11
4/11/20,HIDALGO,8
4/11/20,MICHOACÁN,8
4/11/20,MORELOS,7
4/11/20,GUERRERO,6
4/11/20,SONORA,5
4/11/20,NUEVO LEÓN,5
4/11/20,GUANAJUATO,5
4/11/20,NAYARIT,4
4/11/20,DURANGO,4
4/11/20,YUCATÁN,4
4/11/20,SAN LUIS POTOSÍ,4
4/11/20,QUERETARO,3
4/11/20,TAMAULIPAS,3
4/11/20,VERACRUZ,3
4/11/20,BAJA CALIFORNIA SUR,2
4/11/20,ZACATECAS,2
4/11/20,OAXACA,2
4/11/20,CAMPECHE,1
4/11/20,TLAXCALA,1
4/11/20,CHIAPAS,1
4/11/20,AGUASCALIENTES,1
4/12/20,CIUDAD DE MÉXICO,56
4/12/20,SINALOA,24
4/12/20,BAJA CALIFORNIA,22
4/12/20,MÉXICO,22
4/12/20,PUEBLA,20
4/12/20,QUINTANA ROO,19
4/12/20,TABASCO,12
4/12/20,CHIHUAHUA,12
4/12/20,COAHUILA,11
4/12/20,JALISCO,11
4/12/20,HIDALGO,9
4/12/20,MICHOACÁN,9
4/12/20,MORELOS,7
4/12/20,YUCATÁN,6
4/12/20,GUERRERO,6
4/12/20,SONORA,5
4/12/20,NUEVO LEÓN,5
4/12/20,GUANAJUATO,5
4/12/20,NAYARIT,4
4/12/20,DURANGO,4
4/12/20,SAN LUIS POTOSÍ,4
4/12/20,QUERETARO,3
4/12/20,TAMAULIPAS,3
4/12/20,OAXACA,3
4/12/20,VERACRUZ,3
4/12/20,CHIAPAS,3
4/12/20,BAJA CALIFORNIA SUR,2
4/12/20,ZACATECAS,2
4/12/20,TLAXCALA,2
4/12/20,CAMPECHE,1
4/12/20,AGUASCALIENTES,1
4/13/20,CIUDAD DE MÉXICO,64
4/13/20,SINALOA,28
4/13/20,MÉXICO,27
4/13/20,BAJA CALIFORNIA,25
4/13/20,QUINTANA ROO,22
4/13/20,PUEBLA,22
4/13/20,TABASCO,14
4/13/20,CHIHUAHUA,13
4/13/20,COAHUILA,12
4/13/20,JALISCO,11
4/13/20,HIDALGO,9
4/13/20,MICHOACÁN,9
4/13/20,SONORA,9
4/13/20,MORELOS,7
4/13/20,YUCATÁN,6
4/13/20,GUERRERO,6
4/13/20,NUEVO LEÓN,5
4/13/20,GUANAJUATO,5
4/13/20,NAYARIT,4
4/13/20,DURANGO,4
4/13/20,SAN LUIS POTOSÍ,4
4/13/20,OAXACA,4
4/13/20,BAJA CALIFORNIA SUR,3 
4/13/20,QUERETARO,3
4/13/20,TAMAULIPAS,3
4/13/20,CHIAPAS,3
4/13/20,VERACRUZ,3
4/13/20,TLAXCALA,2
4/13/20,ZACATECAS,2
4/13/20,CAMPECHE,2
4/13/20,AGUASCALIENTES,1
4/14/20,CIUDAD DE MÉXICO, 92
4/14/20,MÉXICO,35
4/14/20,SINALOA,34
4/14/20,BAJA CALIFORNIA,28
4/14/20,PUEBLA,27
4/14/20,QUINTANA ROO,25
4/14/20,TABASCO,19
4/14/20,CHIHUAHUA,16
4/14/20,COAHUILA,12
4/14/20,MICHOACÁN,11
4/14/20,JALISCO,11
4/14/20,HIDALGO,10
4/14/20,MORELOS,9
4/14/20,SONORA,9
4/14/20,YUCATÁN,7
4/14/20,GUERRERO,6
4/14/20,BAJA CALIFORNIA SUR,5 
4/14/20,OAXACA,5
4/14/20,NUEVO LEÓN,5
4/14/20,GUANAJUATO,5
4/14/20,VERACRUZ,5
4/14/20,NAYARIT,4
4/14/20,TLAXCALA,4
4/14/20,SAN LUIS POTOSÍ,4
4/14/20,QUERETARO,4
4/14/20,DURANGO,3
4/14/20,TAMAULIPAS,3
4/14/20,CHIAPAS,3
4/14/20,CAMPECHE,2
4/14/20,ZACATECAS,2
