,Province/State,Confirmed
03/20/2020,TLAXCALA,3
03/20/2020,VERACRUZ,29
03/21/2020,AGUASCALIENTES,9
03/21/2020,BAJA CALIFORNIA,6
03/21/2020,BAJA CALIFORNIA SUR,1
03/21/2020,CIUDAD DE MÉXICO,40
03/21/2020,COAHUILA,1
03/21/2020,GUANAJUATO,4
03/21/2020,GUERRERO,5
03/21/2020,HIDALGO,10
03/21/2020,JALISCO,34
03/21/2020,MORELOS,1
03/21/2020,MÉXICO,3
03/21/2020,NAYARIT,1
03/21/2020,NUEVO LEÓN,1
03/21/2020,OAXACA,1
03/21/2020,PUEBLA,4
03/21/2020,QUERETARO,6
03/21/2020,QUINTANA ROO,5
03/21/2020,SAN LUIS POTOSÍ,3
03/21/2020,SINALOA,8
03/21/2020,SONORA,9
03/21/2020,TABASCO,10
03/21/2020,TLAXCALA,3
03/21/2020,VERACRUZ,38
03/22/2020,AGUASCALIENTES,9
03/22/2020,BAJA CALIFORNIA,11
03/22/2020,BAJA CALIFORNIA SUR,1
03/22/2020,CIUDAD DE MÉXICO,45
03/22/2020,COAHUILA,2
03/22/2020,GUANAJUATO,4
03/22/2020,GUERRERO,11
03/22/2020,HIDALGO,10
03/22/2020,JALISCO,42
03/22/2020,MORELOS,1
03/22/2020,MÉXICO,6
03/22/2020,NAYARIT,1
03/22/2020,NUEVO LEÓN,1
03/22/2020,OAXACA,1
03/22/2020,PUEBLA,5
03/22/2020,QUERETARO,9
03/22/2020,QUINTANA ROO,5
03/22/2020,SAN LUIS POTOSÍ,3
03/22/2020,SINALOA,10
03/22/2020,SONORA,12
03/22/2020,TABASCO,13
03/22/2020,TLAXCALA,3
03/22/2020,VERACRUZ,44
03/22/2020,YUCATÁN,2
03/23/2020,AGUASCALIENTES,9
03/23/2020,BAJA CALIFORNIA,19
03/23/2020,BAJA CALIFORNIA SUR,1
03/23/2020,CIUDAD DE MÉXICO,50
03/23/2020,COAHUILA,3
03/23/2020,GUANAJUATO,4
03/23/2020,GUERRERO,15
03/23/2020,HIDALGO,10
03/23/2020,JALISCO,59
03/23/2020,MICHOACÁN,1
03/23/2020,MORELOS,2
03/23/2020,MÉXICO,7
03/23/2020,NAYARIT,1
03/23/2020,NUEVO LEÓN,1
03/23/2020,OAXACA,1
03/23/2020,PUEBLA,6
03/23/2020,QUERETARO,13
03/23/2020,QUINTANA ROO,5
03/23/2020,SAN LUIS POTOSÍ,3
03/23/2020,SINALOA,12
03/23/2020,SONORA,13
03/23/2020,TABASCO,21
03/23/2020,TAMAULIPAS,1
03/23/2020,TLAXCALA,3
03/23/2020,VERACRUZ,53
03/23/2020,YUCATÁN,3
03/24/2020,AGUASCALIENTES,9
03/24/2020,BAJA CALIFORNIA,22
03/24/2020,BAJA CALIFORNIA SUR,1
03/24/2020,CHIAPAS,3
03/24/2020,CIUDAD DE MÉXICO,55
03/24/2020,COAHUILA,3
03/24/2020,GUANAJUATO,5
03/24/2020,GUERRERO,15
03/24/2020,HIDALGO,10
03/24/2020,JALISCO,66
03/24/2020,MICHOACÁN,1
03/24/2020,MORELOS,3
03/24/2020,MÉXICO,7
03/24/2020,NAYARIT,1
03/24/2020,NUEVO LEÓN,1
03/24/2020,OAXACA,2
03/24/2020,PUEBLA,8
03/24/2020,QUERETARO,15
03/24/2020,QUINTANA ROO,5
03/24/2020,SAN LUIS POTOSÍ,4
03/24/2020,SINALOA,14
03/24/2020,SONORA,16
03/24/2020,TABASCO,31
03/24/2020,TAMAULIPAS,2
03/24/2020,TLAXCALA,7
03/24/2020,VERACRUZ,58
03/24/2020,YUCATÁN,3
03/25/2020,AGUASCALIENTES,9
03/25/2020,BAJA CALIFORNIA,22
03/25/2020,BAJA CALIFORNIA SUR,1
03/25/2020,CHIAPAS,3
03/25/2020,CIUDAD DE MÉXICO,67
03/25/2020,COAHUILA,3
03/25/2020,GUANAJUATO,6
03/25/2020,GUERRERO,15
03/25/2020,HIDALGO,15
03/25/2020,JALISCO,75
03/25/2020,MICHOACÁN,1
03/25/2020,MORELOS,4
03/25/2020,MÉXICO,7
03/25/2020,NAYARIT,1
03/25/2020,NUEVO LEÓN,1
03/25/2020,OAXACA,2
03/25/2020,PUEBLA,8
03/25/2020,QUERETARO,15
03/25/2020,QUINTANA ROO,5
03/25/2020,SAN LUIS POTOSÍ,4
03/25/2020,SINALOA,14
03/25/2020,SONORA,17
03/25/2020,TABASCO,34
03/25/2020,TAMAULIPAS,2
03/25/2020,TLAXCALA,9
03/25/2020,VERACRUZ,62
03/25/2020,YUCATÁN,3
03/26/2020,AGUASCALIENTES,9
03/26/2020,BAJA CALIFORNIA,24
03/26/2020,BAJA CALIFORNIA SUR,3
03/26/2020,CHIAPAS,3
03/26/2020,CHIHUAHUA,3
03/26/2020,CIUDAD DE MÉXICO,80
03/26/2020,COAHUILA,3
03/26/2020,GUANAJUATO,6
03/26/2020,GUERRERO,15
03/26/2020,HIDALGO,18
03/26/2020,JALISCO,85
03/26/2020,MICHOACÁN,1
03/26/2020,MORELOS,9
03/26/2020,MÉXICO,8
03/26/2020,NAYARIT,1
03/26/2020,NUEVO LEÓN,1
03/26/2020,OAXACA,2
03/26/2020,PUEBLA,9
03/26/2020,QUERETARO,15
03/26/2020,QUINTANA ROO,5
03/26/2020,SAN LUIS POTOSÍ,6
03/26/2020,SINALOA,15
03/26/2020,SONORA,22
03/26/2020,TABASCO,45
03/26/2020,TAMAULIPAS,3
03/26/2020,TLAXCALA,10
03/26/2020,VERACRUZ,71
03/26/2020,YUCATÁN,3
03/27/2020,AGUASCALIENTES,9
03/27/2020,BAJA CALIFORNIA,31
03/27/2020,BAJA CALIFORNIA SUR,3
03/27/2020,CHIAPAS,7
03/27/2020,CHIHUAHUA,4
03/27/2020,CIUDAD DE MÉXICO,108
03/27/2020,COAHUILA,5
03/27/2020,GUANAJUATO,7
03/27/2020,GUERRERO,15
03/27/2020,HIDALGO,20
03/27/2020,JALISCO,103
03/27/2020,MICHOACÁN,1
03/27/2020,MORELOS,9
03/27/2020,MÉXICO,21
03/27/2020,NAYARIT,1
03/27/2020,NUEVO LEÓN,2
03/27/2020,OAXACA,4
03/27/2020,PUEBLA,11
03/27/2020,QUERETARO,15
03/27/2020,QUINTANA ROO,5
03/27/2020,SAN LUIS POTOSÍ,7
03/27/2020,SINALOA,17
03/27/2020,SONORA,22
03/27/2020,TABASCO,50
03/27/2020,TAMAULIPAS,3
03/27/2020,TLAXCALA,10
03/27/2020,VERACRUZ,86
03/27/2020,YUCATÁN,7
03/27/2020,ZACATECAS,2
03/28/2020,AGUASCALIENTES,9
03/28/2020,BAJA CALIFORNIA,36
03/28/2020,BAJA CALIFORNIA SUR,4
03/28/2020,CAMPECHE,1
03/28/2020,CHIAPAS,7
03/28/2020,CHIHUAHUA,4
03/28/2020,CIUDAD DE MÉXICO,128
03/28/2020,COAHUILA,8
03/28/2020,DURANGO,1
03/28/2020,GUANAJUATO,9
03/28/2020,GUERRERO,16
03/28/2020,HIDALGO,21
03/28/2020,JALISCO,126
03/28/2020,MICHOACÁN,2
03/28/2020,MORELOS,12
03/28/2020,MÉXICO,38
03/28/2020,NAYARIT,1
03/28/2020,NUEVO LEÓN,2
03/28/2020,OAXACA,5
03/28/2020,PUEBLA,22
03/28/2020,QUERETARO,15
03/28/2020,QUINTANA ROO,6
03/28/2020,SAN LUIS POTOSÍ,11
03/28/2020,SINALOA,17
03/28/2020,SONORA,23
03/28/2020,TABASCO,65
03/28/2020,TAMAULIPAS,5
03/28/2020,TLAXCALA,11
03/28/2020,VERACRUZ,101
03/28/2020,YUCATÁN,7
03/28/2020,ZACATECAS,4
03/29/2020,AGUASCALIENTES,9
03/29/2020,BAJA CALIFORNIA,47
03/29/2020,BAJA CALIFORNIA SUR,12
03/29/2020,CAMPECHE,1
03/29/2020,CHIAPAS,8
03/29/2020,CHIHUAHUA,4
03/29/2020,CIUDAD DE MÉXICO,144
03/29/2020,COAHUILA,9
03/29/2020,DURANGO,2
03/29/2020,GUANAJUATO,14
03/29/2020,GUERRERO,24
03/29/2020,HIDALGO,22
03/29/2020,JALISCO,141
03/29/2020,MICHOACÁN,2
03/29/2020,MORELOS,12
03/29/2020,MÉXICO,51
03/29/2020,NAYARIT,1
03/29/2020,NUEVO LEÓN,2
03/29/2020,OAXACA,5
03/29/2020,PUEBLA,28
03/29/2020,QUERETARO,15
03/29/2020,QUINTANA ROO,9
03/29/2020,SAN LUIS POTOSÍ,17
03/29/2020,SINALOA,23
03/29/2020,SONORA,28
03/29/2020,TABASCO,78
03/29/2020,TAMAULIPAS,5
03/29/2020,TLAXCALA,13
03/29/2020,VERACRUZ,111
03/29/2020,YUCATÁN,7
03/29/2020,ZACATECAS,4
03/30/2020,AGUASCALIENTES,9
03/30/2020,BAJA CALIFORNIA,53
03/30/2020,BAJA CALIFORNIA SUR,14
03/30/2020,CAMPECHE,1
03/30/2020,CHIAPAS,11
03/30/2020,CHIHUAHUA,5
03/30/2020,CIUDAD DE MÉXICO,159
03/30/2020,COAHUILA,10
03/30/2020,COLIMA,2
03/30/2020,DURANGO,2
03/30/2020,GUANAJUATO,18
03/30/2020,GUERRERO,25
03/30/2020,HIDALGO,26
03/30/2020,JALISCO,167
03/30/2020,MICHOACÁN,2
03/30/2020,MORELOS,12
03/30/2020,MÉXICO,69
03/30/2020,NAYARIT,1
03/30/2020,NUEVO LEÓN,2
03/30/2020,OAXACA,8
03/30/2020,PUEBLA,36
03/30/2020,QUERETARO,15
03/30/2020,QUINTANA ROO,12
03/30/2020,SAN LUIS POTOSÍ,17
03/30/2020,SINALOA,32
03/30/2020,SONORA,34
03/30/2020,TABASCO,95
03/30/2020,TAMAULIPAS,10
03/30/2020,TLAXCALA,16
03/30/2020,VERACRUZ,116
03/30/2020,YUCATÁN,10
03/30/2020,ZACATECAS,4
03/31/2020,AGUASCALIENTES,9
03/31/2020,BAJA CALIFORNIA,53
03/31/2020,BAJA CALIFORNIA SUR,18
03/31/2020,CAMPECHE,1
03/31/2020,CHIAPAS,12
03/31/2020,CHIHUAHUA,5
03/31/2020,CIUDAD DE MÉXICO,181
03/31/2020,COAHUILA,11
03/31/2020,COLIMA,3
03/31/2020,DURANGO,3
03/31/2020,GUANAJUATO,20
03/31/2020,GUERRERO,25
03/31/2020,HIDALGO,26
03/31/2020,JALISCO,184
03/31/2020,MICHOACÁN,2
03/31/2020,MORELOS,12
03/31/2020,MÉXICO,72
03/31/2020,NAYARIT,1
03/31/2020,NUEVO LEÓN,3
03/31/2020,OAXACA,8
03/31/2020,PUEBLA,38
03/31/2020,QUERETARO,20
03/31/2020,QUINTANA ROO,30
03/31/2020,SAN LUIS POTOSÍ,18
03/31/2020,SINALOA,38
03/31/2020,SONORA,36
03/31/2020,TABASCO,97
03/31/2020,TAMAULIPAS,12
03/31/2020,TLAXCALA,16
03/31/2020,VERACRUZ,123
03/31/2020,YUCATÁN,13
03/31/2020,ZACATECAS,4
04/01/2020,AGUASCALIENTES,9
04/01/2020,BAJA CALIFORNIA,55
04/01/2020,BAJA CALIFORNIA SUR,26
04/01/2020,CAMPECHE,1
04/01/2020,CHIAPAS,13
04/01/2020,CHIHUAHUA,5
04/01/2020,CIUDAD DE MÉXICO,199
04/01/2020,COAHUILA,17
04/01/2020,COLIMA,3
04/01/2020,DURANGO,6
04/01/2020,GUANAJUATO,22
04/01/2020,GUERRERO,25
04/01/2020,HIDALGO,26
04/01/2020,JALISCO,199
04/01/2020,MICHOACÁN,2
04/01/2020,MORELOS,13
04/01/2020,MÉXICO,73
04/01/2020,NAYARIT,4
04/01/2020,NUEVO LEÓN,7
04/01/2020,OAXACA,8
04/01/2020,PUEBLA,44
04/01/2020,QUERETARO,22
04/01/2020,QUINTANA ROO,33
04/01/2020,SAN LUIS POTOSÍ,23
04/01/2020,SINALOA,46
04/01/2020,SONORA,44
04/01/2020,TABASCO,98
04/01/2020,TAMAULIPAS,13
04/01/2020,TLAXCALA,16
04/01/2020,VERACRUZ,140
04/01/2020,YUCATÁN,19
04/01/2020,ZACATECAS,4
04/02/2020,AGUASCALIENTES,10
04/02/2020,BAJA CALIFORNIA,61
04/02/2020,BAJA CALIFORNIA SUR,33
04/02/2020,CAMPECHE,1
04/02/2020,CHIAPAS,14
04/02/2020,CHIHUAHUA,5
04/02/2020,CIUDAD DE MÉXICO,228
04/02/2020,COAHUILA,22
04/02/2020,COLIMA,3
04/02/2020,DURANGO,6
04/02/2020,GUANAJUATO,29
04/02/2020,GUERRERO,25
04/02/2020,HIDALGO,27
04/02/2020,JALISCO,244
04/02/2020,MICHOACÁN,2
04/02/2020,MORELOS,13
04/02/2020,MÉXICO,77
04/02/2020,NAYARIT,9
04/02/2020,NUEVO LEÓN,13
04/02/2020,OAXACA,8
04/02/2020,PUEBLA,51
04/02/2020,QUERETARO,24
04/02/2020,QUINTANA ROO,33
04/02/2020,SAN LUIS POTOSÍ,29
04/02/2020,SINALOA,55
04/02/2020,SONORA,48
04/02/2020,TABASCO,102
04/02/2020,TAMAULIPAS,18
04/02/2020,TLAXCALA,17
04/02/2020,VERACRUZ,147
04/02/2020,YUCATÁN,19
04/02/2020,ZACATECAS,5
04/03/2020,AGUASCALIENTES,10
04/03/2020,BAJA CALIFORNIA,74
04/03/2020,BAJA CALIFORNIA SUR,35
04/03/2020,CAMPECHE,1
04/03/2020,CHIAPAS,14
04/03/2020,CHIHUAHUA,6
04/03/2020,CIUDAD DE MÉXICO,242
04/03/2020,COAHUILA,30
04/03/2020,COLIMA,3
04/03/2020,DURANGO,6
04/03/2020,GUANAJUATO,32
04/03/2020,GUERRERO,28
04/03/2020,HIDALGO,31
04/03/2020,JALISCO,262
04/03/2020,MICHOACÁN,2
04/03/2020,MORELOS,15
04/03/2020,MÉXICO,87
04/03/2020,NAYARIT,10
04/03/2020,NUEVO LEÓN,18
04/03/2020,OAXACA,8
04/03/2020,PUEBLA,65
04/03/2020,QUERETARO,24
04/03/2020,QUINTANA ROO,37
04/03/2020,SAN LUIS POTOSÍ,30
04/03/2020,SINALOA,57
04/03/2020,SONORA,48
04/03/2020,TABASCO,109
04/03/2020,TAMAULIPAS,25
04/03/2020,TLAXCALA,20
04/03/2020,VERACRUZ,155
04/03/2020,YUCATÁN,20
04/03/2020,ZACATECAS,6
04/04/2020,AGUASCALIENTES,10
04/04/2020,BAJA CALIFORNIA,91
04/04/2020,BAJA CALIFORNIA SUR,38
04/04/2020,CAMPECHE,1
04/04/2020,CHIAPAS,15
04/04/2020,CHIHUAHUA,7
04/04/2020,CIUDAD DE MÉXICO,263
04/04/2020,COAHUILA,35
04/04/2020,COLIMA,3
04/04/2020,DURANGO,6
04/04/2020,GUANAJUATO,33
04/04/2020,GUERRERO,28
04/04/2020,HIDALGO,35
04/04/2020,JALISCO,301
04/04/2020,MICHOACÁN,2
04/04/2020,MORELOS,15
04/04/2020,MÉXICO,94
04/04/2020,NAYARIT,10
04/04/2020,NUEVO LEÓN,23
04/04/2020,OAXACA,9
04/04/2020,PUEBLA,85
04/04/2020,QUERETARO,24
04/04/2020,QUINTANA ROO,47
04/04/2020,SAN LUIS POTOSÍ,30
04/04/2020,SINALOA,65
04/04/2020,SONORA,51
04/04/2020,TABASCO,117
04/04/2020,TAMAULIPAS,30
04/04/2020,TLAXCALA,25
04/04/2020,VERACRUZ,168
04/04/2020,YUCATÁN,20
04/04/2020,ZACATECAS,7
04/05/2020,AGUASCALIENTES,10
04/05/2020,BAJA CALIFORNIA,91
04/05/2020,BAJA CALIFORNIA SUR,41
04/05/2020,CAMPECHE,1
04/05/2020,CHIAPAS,15
04/05/2020,CHIHUAHUA,9
04/05/2020,CIUDAD DE MÉXICO,295
04/05/2020,COAHUILA,52
04/05/2020,COLIMA,11
04/05/2020,DURANGO,7
04/05/2020,GUANAJUATO,36
04/05/2020,GUERRERO,35
04/05/2020,HIDALGO,35
04/05/2020,JALISCO,318
04/05/2020,MICHOACÁN,2
04/05/2020,MORELOS,16
04/05/2020,MÉXICO,111
04/05/2020,NAYARIT,10
04/05/2020,NUEVO LEÓN,36
04/05/2020,OAXACA,11
04/05/2020,PUEBLA,89
04/05/2020,QUERETARO,24
04/05/2020,QUINTANA ROO,57
04/05/2020,SAN LUIS POTOSÍ,37
04/05/2020,SINALOA,80
04/05/2020,SONORA,54
04/05/2020,TABASCO,129
04/05/2020,TAMAULIPAS,30
04/05/2020,TLAXCALA,27
04/05/2020,VERACRUZ,193
04/05/2020,YUCATÁN,21
04/05/2020,ZACATECAS,7
