AGUASCALIENTES,48
BAJA CALIFORNIA,52
BAJA CALIFORNIA SUR,21
CAMPECHE,6
CHIAPAS,18
CHIHUAHUA,12
COAHUILA,70
COLIMA,4
DISTRITO FEDERAL,384
DURANGO,8
GUANAJUATO,52
GUERRERO,24
HIDALGO,30
JALISCO,116
MEXICO,177
MICHOACÁN,24
MORELOS,12
NAYARIT,8
NUEVO LEON,85
OAXACA,22
PUEBLA,109
QUERETARO,35
QUINTANA ROO,65
SAN LUIS POTOSI,35
SINALOA,51
SONORA,22
TABASCO,73
TAMAULIPAS,16
TLAXCALA,8
VERACRUZ,35
YUCATÁN,59
ZACATECAS,7
